Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa),SFE_calc
2,BBB,BBB05,0,44,12,4.0,12,24,4,0,894.083,100.788,460.0,0.247098325,399.172,918.517,2.47792,31.6783,1.75,189.59,100.7880386
2,BBB,BBB06,0,16,20,4.0,36,20,4,0,776.155,230.74,672.0,0.258091564,399.172,918.517,2.47792,31.6783,2.47109,204.66,230.7397973
2,BBB,BBB07,4,40,0,12.0,36,4,4,0,220.169,26.0423,596.0,0.319392447,211.0,901.0,4.27,45.3,1.89148,210.354,26.04232959
2,BBB,BBB08,4,8,12,4.0,40,4,24,4,413.902,216.993,764.0,0.273752707,282.0,1143.0,4.05,54.6,2.08,171.77,216.9930622
2,BBB,BBB09,0,4,8,4.0,40,16,28,0,557.043,301.695,764.0,0.261376143,399.172,918.517,2.47792,31.6783,2.47109,200.524,301.6946369
2,BBB,BBB10,4,0,4,8.0,52,12,16,4,699.393,305.771,836.0,0.267345079,399.172,918.517,2.47792,31.6783,2.41854,191.896,305.7714923
2,BBB,BBB11,0,24,4,4.0,20,16,32,0,547.704,186.823,608.0,0.280508158,399.172,918.517,2.47792,31.6783,2.74912,194.651,186.8227346
2,BBB,BBB12,0,20,4,4.0,48,20,4,0,688.746,264.082,704.0,0.306012755,418.0,1400.0,3.35,46.5,3.04,215.0,264.0820282
2,BBB,BBB13,0,40,4,28.0,4,20,4,0,722.09,55.481,496.0,0.263375137,531.0,1313.0,2.47,28.2,2.54,203.53,55.48103783
2,BBB,BBB14,4,0,12,4.0,52,0,12,16,735.022,147.368,896.0,0.313494112,270.0,1063.0,3.94,51.5,1.99,182.28,147.3681638
2,BBB,BBB15,4,0,8,4.0,44,0,16,24,1004.2,124.143,908.0,0.327179077,261.0,1061.0,4.07,52.6,1.98,171.74,124.1429198
2,BBB,BBB16,4,36,0,4.0,40,12,4,0,510.615,78.4707,604.0,0.299947903,399.172,918.517,2.47792,31.6783,2.7341,194.651,78.47070243
2,BBC,BBC1,4,12,4,20.0,32,8,16,4,,,,,255.0,1069.0,4.2,51.8,,,
2,BBC,BBC2,4,8,0,4.0,52,24,8,0,,,,,449.0,1463.0,3.26,48.4,,,
2,BBC,BBC3,4,4,12,,52,24,4,0,,,,,719.0,1161.0,1.61,13.8,,,
2,BBC,BBC4,4,0,4,4.0,60,24,4,0,,,,,446.0,1476.0,3.31,50.2,,,
2,BBC,BBC5,0,24,8,16.0,4,8,40,0,,,,,,,,,,,
2,BBC,BBC6,4,28,4,4.0,44,12,4,0,,,,,,,,,,,
2,BBC,BBC7,4,32,4,,44,12,4,0,,,,,,,,,,,
2,BBC,BBC8,0,8,0,4.0,36,20,28,4,,,,,415.0,1021.0,2.46,24.5,,,
2,BBC,BBC9,0,36,4,16.0,8,20,16,0,,,,,,,,,,,
2,BBC,BBC10,4,4,16,8.0,52,16,0,0,,,,,,,,,,,
2,BBC,BBC11,4,12,4,12.0,36,12,16,4,,,,,290.0,1098.0,3.79,48.4,,,
2,BBC,BBC12,4,4,4,28.0,32,4,16,8,,,,,252.0,972.0,3.85,46.3,,,
2,BBC,BBC13,4,28,0,4.0,36,0,8,20,,,,,267.0,920.0,3.45,44.6,,,
2,BBC,BBC14,0,12,4,4.0,40,24,16,0,,,,,406.0,1293.0,3.18,39.6,,,
2,BBC,BBC15,4,16,0,4.0,44,0,12,20,,,,,219.0,871.0,3.98,44.6,,,
2,BBC,BBC16,4,28,4,8.0,40,16,0,0,,,,,,,,,,,
