Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,1000 Min Creep NH [1/s],1300 Min Creep NH [1/s],1500 Min Creep NH [1/s],SCHEIL ST,SCHEIL LT,Kou Criteria
0.2,0,0.65,0.15,0,2423.880637,2278.671537,8.80E-06,9.53E-06,1.04E-05,26.75827277,8.493484798,27.63994051,8.420564914,27.62654601,8.421744378,3.303030303,413.0398108,236.1639364,1.29E-11,5.97E-09,1.10E-07,2423.970634,2133.875009,179.0118745
0.65,0,0.05,0.3,0,2954.610757,2842.627055,6.92E-06,7.32E-06,7.74E-06,48.14518697,11.4357965,49.185784,11.36510027,50.65340304,11.25384852,3.303030303,232.365352,132.938048,4.16E-10,7.64E-07,5.64E-05,2954.700756,2348.605131,1072.903229
0.15,0.05,0.75,0.05,0,2226.806319,2187.590616,9.38E-06,1.02E-05,1.13E-05,26.19504073,7.061141445,27.12356463,6.994588949,26.88814831,7.012409502,3.289855072,220.5552258,108.6474279,6.02E-06,9.60E-05,0.000379909,2214.460903,2110.365278,82.15122311
0.25,0.1,0.65,0,0,2149.414677,2148.567506,9.32E-06,1.02E-05,1.14E-05,22.9073163,6.658869762,23.53858238,6.595842712,23.31526198,6.619451118,3.27677497,251.6259519,124.4226519,1.25E-10,1.92E-07,6.98E-06,2101.951712,2068.856087,53.48227269
0.15,0,0.7,0.15,0,2408.914767,2277.356601,8.92E-06,9.67E-06,1.06E-05,28.59987182,8.390888799,29.65102845,8.317455057,29.63138826,8.318912323,3.263788969,354.2885103,197.1594645,1.24E-11,5.96E-09,1.13E-07,2409.004766,2136.909141,185.6934716
0.4,0.05,0.4,0.15,0,2521.673055,2327.57004,8.24E-06,8.89E-06,9.73E-06,26.80808819,8.987656396,27.43511572,8.915833597,27.50428222,8.907186953,3.250896057,583.4090803,356.521857,1.20E-06,1.88E-05,1.58E-07,2515.657055,2066.56143,265.8680155
0.1,0.05,0.8,0.05,0,2227.810886,2192.918308,9.49E-06,1.04E-05,1.15E-05,28.93455308,6.943442543,30.11463424,6.876846261,29.83089029,6.89372199,3.250896057,157.0770127,72.64564604,9.11E-07,1.71E-07,2.30E-06,2219.097,2120.001375,92.00946379
0.2,0.1,0.7,0,0,2147.150829,2146.773986,9.44E-06,1.03E-05,1.15E-05,23.81640699,6.533243632,24.52803683,6.470320701,24.27252462,6.494208135,3.238095238,213.347465,102.1329926,1.79E-13,2.10E-10,6.06E-09,2106.519961,2079.424336,44.74767621
0.1,0,0.75,0.15,0,2398.941455,2280.500342,9.04E-06,9.81E-06,1.08E-05,31.6295895,8.289083318,32.97178592,8.215163006,32.95767359,8.215985591,3.225385528,277.8976172,148.2997599,1.11E-11,5.69E-09,1.11E-07,2399.031454,2142.935829,193.0948312
0.35,0.05,0.45,0.15,0,2491.479499,2310.109048,8.36E-06,9.04E-06,9.91E-06,26.24153403,8.879139309,26.87627843,8.806706975,26.91800904,8.801525609,3.212765957,582.3511975,354.5369639,2.67E-17,1.50E-12,4.21E-10,2484.856409,2075.760784,228.2942066
0.05,0.05,0.85,0.05,0,2233.818564,2203.17452,9.61E-06,1.05E-05,1.17E-05,33.45477945,6.825057102,35.10085118,6.758463015,34.74736268,6.773479615,3.212765957,85.07432743,35.01138592,2.00E-18,1.08E-09,8.37E-09,2229.359311,2139.263686,92.77097214
0.3,0.1,0.55,0.05,0,2257.102954,2199.941936,8.93E-06,9.73E-06,1.08E-05,23.87313347,7.473582961,24.46583024,7.406337649,24.33637428,7.422108654,3.200235571,408.2690751,225.808067,1.05E-13,5.10E-10,3.11E-08,2225.788933,2047.693308,121.0709635
0.15,0.1,0.75,0,0,2149.903279,2148.845269,9.56E-06,1.05E-05,1.17E-05,25.37025747,6.406628129,26.21191584,6.343860914,25.91367852,6.367350348,3.200235571,166.1792746,75.80839798,5.53E-15,4.81E-11,7.15E-09,2118.268883,2089.173258,42.89199639
0.05,0,0.8,0.15,0,2394.117188,2288.541965,9.15E-06,9.96E-06,1.10E-05,36.69863155,8.187965456,38.58841434,8.113586391,38.60866043,8.11274821,3.187793427,184.1692484,91.50101626,9.38E-12,5.17E-09,1.04E-07,2394.207185,2158.11156,194.7522622
0.2,0,0.6,0.2,0,2519.236924,2330.761666,8.53E-06,9.22E-06,1.01E-05,28.33865113,9.172538507,29.23641703,9.096554364,29.34427992,9.086748622,3.187793427,504.7732221,302.6143261,4.26E-12,2.44E-09,5.02E-08,2519.326919,2136.231294,251.6648556
0.3,0.05,0.5,0.15,0,2463.916508,2296.50951,8.47E-06,9.18E-06,1.01E-05,26.10458997,8.771829207,26.76660523,8.698813633,26.78706375,8.696365141,3.175438596,566.8664194,342.5860979,3.47E-12,3.37E-05,2.45E-07,2456.821579,2083.725954,208.5562868
0,0.05,0.9,0.05,0,2244.209197,2219.10739,9.73E-06,1.07E-05,1.19E-05,41.50890116,6.705776974,44.16567312,6.639233456,43.70183717,6.651333969,3.175438596,15.64679928,4.54056903,5.49E-10,4.54E-07,1.75E-05,2244.299197,2186.203572,49.15286651
