Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS_pred(MPa) at 298K,SFE_calc,VEC Avg,Yield Strength(Mpa),UTS_True(Mpa),UTS/YS,Elong_T(%),Hardness (GPa),Modulus(Gpa),Cracked,Processing,Recryst,XRD Phase,Tension Test Designation,EDS Measured Atomic %s Al ,EDS Measured Atomic %s Co ,EDS Measured Atomic %s Cr ,EDS Measured Atomic %s Cu,EDS Measured Atomic %s Fe ,EDS Measured Atomic %s Mn,EDS Measured Atomic %s Ni ,EDS Measured Atomic %s V ,Grain Size(um)
2,BAA,BAA07,4,12,0,0,16,8,52,8,400.648516,250,780,392.9,1069,2.72,33.7,2.42,197.69,0,Forged,925C for 30min/ water quench,FCC,N/A,4.4,12.1,0,0,16.2,8.1,50.9,8.2,18
2,BAA,BAA08,0,24,8,0,12,16,32,8,215.3815047,165.8,664,270.7,958,3.54,40.3,1.96,193.2,0,Forged,925C for 30min/ water quench,FCC,N/A,0,23.8,8.3,0,12.2,16.3,31.5,8.2,20
2,BAA,BAA09,4,16,8,0,12,0,48,12,447.1938071,54.1,728,444.3,1180,2.66,41.6,2.64,212.29,0,Forged,925C for 30min/ water quench,FCC,N/A,4,16.2,8.2,0,12.2,0,47.1,12.2,26
2,BAA,BAA10,4,0,4,0,20,8,52,12,407.4644681,293.4,832,304.8,951,3.12,40,2.18,181.2,0,Forged,925C for 30min/ water quench,FCC,N/A,4.3,0,4.2,0,20.1,8.1,51,12.3,18
2,BAA,BAA11,0,16,0,4,20,20,28,12,223.1039347,258.3,716,256.1,516,2.01,16.8,2.03,178.26,0,Forged,925C for 30min/ water quench,FCC,N/A,0,15.9,0,4.1,19.3,20.4,27.9,12.4,20
2,BAA,BAA12,0,0,8,4,16,12,52,8,195.7659695,296.4,864,264.8,946,3.57,43.1,1.93,187.31,0,Forged,925C for 30min/ water quench,FCC,N/A,0,0,8.2,4.2,16,12.4,51.1,8.2,23
2,BAA,BAA13,4,20,4,4,16,0,52,0,345.9032675,36.5,768,210.1,761,3.62,35.7,1.9,195.54,0,Forged,925C for 30min/ water quench,FCC,N/A,4.2,20.6,4.2,4.4,16.7,0,50,0,32
2,BAA,BAA14,0,16,8,4,16,20,36,0,108.1028714,75.5,752,257.3,801,3.11,34.3,1.9,189.94,0,Forged,925C for 30min/ water quench,FCC,N/A,0,16.1,8.3,4.1,16,20.2,35.3,0,21
2,BAA,BAA15,0,20,8,4,0,20,44,4,169.3251243,136.9,732,319.3,1044,3.27,40.7,2.2,201.32,0,Forged,925C for 30min/ water quench,FCC,N/A,0,18.6,8,4.2,0,20.5,44.8,3.9,19
2,BAA,BAA16,4,12,0,12,20,8,44,0,322.7523249,118,824,212.6,792,3.73,39,1.79,170.41,0,Forged,925C for 30min/ water quench,FCC,N/A,3.9,12.2,0,11.9,20.3,8.4,43.2,0,29
2,BBA,BBA01,4,8,4,4,16,12,48,4,364.1664646,228.4,808,,,,,2.42,177.99,0,Cold Rolled,950C for 30min/ water quench,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,BBA,BBA02,4,16,0,4,12,8,52,4,372.3869586,195.2,780,301,1080,3.59,44.8,,,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.2,15,,4.2,12.2,8.2,52.2,4.1,32
2,BBA,BBA03,4,12,8,4,16,8,48,0,345.3217004,131.5,792,218,897,4.11,47.1,2.03,156.06,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.3,12.1,8.2,4.2,16.1,8.2,47,0,40
2,BBA,BBA04,0,12,8,4,16,20,36,4,156.6231368,133,764,,,,,,,0,Cold Rolled,950C for 30min/ water quench,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,BBA,BBA05,4,12,8,0,8,8,56,4,388.7773503,204.2,784,313,1160,3.71,47.8,2.30,180.26,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.1,12.2,8.2,0,8.2,8,55.2,4.1,34
2,BBA,BBA06,4,0,8,4,24,12,44,4,349.4921837,180.6,840,230,976,4.24,49,2.04,165.34,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.2,0,8.3,4.1,24,11.9,43.4,4.1,46
2,BBA,BBA07,4,12,0,0,16,8,52,8,400.648516,250,780,410,1259,3.07,40.6,2.66,251.53,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,5,12.3,0,0,16.2,7.9,50.5,8.1,26
2,BBA,BBA08,0,24,8,0,12,16,32,8,215.3815047,165.8,664,270,1049,3.89,45.4,2.30,163.61,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,22.9,8.1,0,12.2,16,32.7,8.1,33
2,BBA,BBA09,4,16,8,0,12,0,48,12,447.1938071,54.1,728,,,,,2.82,217.16,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.9,16.1,8.2,0,12,0,46.6,12.1,31
2,BBA,BBA10,4,0,4,0,20,8,52,12,407.4644681,293.4,832,366,1276,3.49,46.6,2.34,221.14,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.4,0,4.2,0,20.2,8,51,12.2,20
2,BBA,BBA11,0,16,0,4,20,20,28,12,223.1039347,258.3,716,349,1071,3.07,38.6,2.23,174.17,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,16.1,0,4,20.1,20.3,27.4,12,18
2,BBA,BBA12,0,0,8,4,16,12,52,8,195.7659695,296.4,864,316,1101,3.48,43.5,2.25,234.50,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,0,8.3,4.1,16.1,12.3,51.2,8,32
2,BBA,BBA13,4,20,4,4,16,0,52,0,345.9032675,36.5,768,177,800,4.52,42,2.06,182.80,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4,20.4,4.1,4.2,16.3,0,51,0,101
2,BBA,BBA14,0,16,8,4,16,20,36,0,108.1028714,75.5,752,259,954,3.68,41.4,2.05,229.87,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,16.1,8.2,4,16,20.3,35.3,0,34
