number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
45,-0.5842136625841023,2025-05-07 07:46:30.898634,2025-05-07 07:46:35.918630,0 days 00:00:05.019996,0.04220483221225433,104,0.30000000000000004,100,140,0.00010820973151603402,2268,0.001737605130368889,4,5,sgd,"{'neurons_per_layer_encoder': [100, 200, 400, 800, 1600], 'neurons_per_layer_decoder': [1600, 800, 400, 200]}",100,,"[1600, 800, 400, 200]","[100, 200, 400, 800, 1600]",[-0.5842136625841023],0.9461163132835303,COMPLETE
46,-0.002904760846047516,2025-05-07 07:46:34.533494,2025-05-07 07:46:46.353573,0 days 00:00:11.820079,0.011901911689080884,104,0.30000000000000004,76,180,0.00011068394423000801,1755,0.001559396439739725,4,5,sgd,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152]}",76,,"[1216, 608, 304, 152]","[76, 152, 304, 608, 1216]",[-0.002904760846047516],0.9568553694859618,COMPLETE
47,-0.07059526821112527,2025-05-07 07:46:35.928782,2025-05-07 07:47:04.870278,0 days 00:00:28.941496,0.011995675105237,120,0.4,68,180,0.0003581224091411618,1739,0.001646892976792766,4,5,adam,"{'neurons_per_layer_encoder': [68, 136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544, 272, 136]}",68,,"[1088, 544, 272, 136]","[68, 136, 272, 544, 1088]",[-0.07059526821112527],0.9123661034403628,COMPLETE
48,-0.08023654821171977,2025-05-07 07:46:44.114407,2025-05-07 07:47:06.935502,0 days 00:00:22.821095,0.012762289139501023,120,0.4,76,140,0.0003270839772944696,1784,0.0010617826150996496,4,5,adadelta,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152]}",76,,"[1216, 608, 304, 152]","[76, 152, 304, 608, 1216]",[-0.08023654821171977],0.983062957697127,COMPLETE
49,-0.6635741429550095,2025-05-07 07:46:46.310526,2025-05-07 07:46:54.408262,0 days 00:00:08.097736,0.012660677371444393,120,0.4,80,180,0.0001273406476866257,1785,0.0010587370714425235,4,5,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320, 160]}",80,,"[1280, 640, 320, 160]","[80, 160, 320, 640, 1280]",[-0.6635741429550095],0.9422364257951402,COMPLETE
50,-0.6346686570007385,2025-05-07 07:46:46.370081,2025-05-07 07:46:55.962668,0 days 00:00:09.592587,0.012770689699554619,104,0.4,76,180,0.0003658760268184657,1773,0.0005066545674990161,4,5,adadelta,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152]}",76,,"[1216, 608, 304, 152]","[76, 152, 304, 608, 1216]",[-0.6346686570007385],0.9770328159225297,COMPLETE
51,-0.38858855552895055,2025-05-07 07:46:54.427340,2025-05-07 07:47:12.984747,0 days 00:00:18.557407,0.09338412856065771,104,0.4,76,200,3.989971924975627e-05,1721,0.0006485334852624364,4,5,sgd,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152]}",76,,"[1216, 608, 304, 152]","[76, 152, 304, 608, 1216]",[-0.38858855552895055],0.8666640157121108,COMPLETE
52,0.12318795838813401,2025-05-07 07:46:55.975724,2025-05-07 07:47:16.606631,0 days 00:00:20.630907,0.10094376046150393,96,0.30000000000000004,40,200,4.005431521243705e-05,824,0.0007823448506346091,2,5,sgd,"{'neurons_per_layer_encoder': [40, 80, 160, 320, 640], 'neurons_per_layer_decoder': [640, 320]}",40,,"[640, 320]","[40, 80, 160, 320, 640]",[0.12318795838813401],0.8770397473968239,COMPLETE
53,-0.9284886691099254,2025-05-07 07:47:04.882875,2025-05-07 07:47:08.113302,0 days 00:00:03.230427,0.08844376292160144,104,0.2,32,200,3.821974209578145e-05,404,0.0008250856297265283,2,4,sgd,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128]}",32,,"[256, 128]","[32, 64, 128, 256]",[-0.9284886691099254],0.6189718160161622,COMPLETE
54,-0.17030560642656556,2025-05-07 07:47:06.958411,2025-05-07 07:47:14.596320,0 days 00:00:07.637909,0.09263193146486427,32,0.30000000000000004,148,200,8.631016892151636e-05,1665,0.003538405575165268,2,4,sgd,"{'neurons_per_layer_encoder': [148, 296, 592, 1184], 'neurons_per_layer_decoder': [1184, 592]}",148,,"[1184, 592]","[148, 296, 592, 1184]",[-0.17030560642656556],0.9236838181932397,COMPLETE
