number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
60,0.04562177935747379,2024-10-16 10:20:17.441163,2024-10-16 10:20:17.817004,0 days 00:00:00.375841,0.9203568875930032,0.009257974712708143,7,50,0.7580453964225258,0.7854674383694024,0.4469586583182973,COMPLETE
61,0.0061293863492334335,2024-10-16 10:20:17.476485,2024-10-16 10:20:17.945099,0 days 00:00:00.468614,0.917773942805842,0.07569730277904801,7,50,0.7533828414345514,0.9093798540011342,0.9256976799676215,COMPLETE
62,0.030202566305130102,2024-10-16 10:20:17.523814,2024-10-16 10:20:18.071803,0 days 00:00:00.547989,0.9195494866176198,0.01667234409377,7,50,0.7974358974720265,0.8230626421926318,0.6338751353659466,COMPLETE
63,0.029389323192346686,2024-10-16 10:20:17.558209,2024-10-16 10:20:18.090389,0 days 00:00:00.532180,0.9228059268353569,0.017216419703362865,7,50,0.7614185314919415,0.8251104804885395,0.6437335202983498,COMPLETE
64,0.042026972498323975,2024-10-16 10:20:17.599597,2024-10-16 10:20:18.148051,0 days 00:00:00.548454,0.9575349096794905,0.010666052326646634,7,50,0.7604869267345536,0.7935226695212529,0.4905360206323147,COMPLETE
65,0.005157307979260134,2024-10-16 10:20:17.824756,2024-10-16 10:20:18.397113,0 days 00:00:00.572357,0.9210704697343115,0.0995982377905691,7,50,0.8062826476467012,0.9141241048806169,0.9374815150902587,COMPLETE
66,0.006339632776095265,2024-10-16 10:20:17.952969,2024-10-16 10:20:18.469881,0 days 00:00:00.516912,0.9538961798644349,0.07320019649584676,7,50,0.7948467655714051,0.9079709689644541,0.9231490076529281,COMPLETE
67,0.010940650219372164,2024-10-16 10:20:18.079508,2024-10-16 10:20:18.596377,0 days 00:00:00.516869,0.9530133026279402,0.04282437556335024,7,50,0.7560196184340611,0.887085626341034,0.8673740489431265,COMPLETE
68,0.006409303287016874,2024-10-16 10:20:18.101475,2024-10-16 10:20:18.617527,0 days 00:00:00.516052,0.9539032492828753,0.072255677404722,7,50,0.8057280305384912,0.9081722419487285,0.922304440137623,COMPLETE
69,0.00610888204775093,2024-10-16 10:20:18.156013,2024-10-16 10:20:18.645825,0 days 00:00:00.489812,0.9489489443040549,0.07793312161617197,7,50,0.7934299009320371,0.9087225974543274,0.9259462394618333,COMPLETE
70,0.010872214390697254,2024-10-16 10:20:18.403886,2024-10-16 10:20:18.893713,0 days 00:00:00.489827,0.705800620750832,0.07585492999468374,8,50,0.8032805540397128,0.8680555847908886,0.8682036492577683,COMPLETE
71,0.004719554675249323,2024-10-16 10:20:18.476143,2024-10-16 10:20:18.983600,0 days 00:00:00.507457,0.9893064646491329,0.07629954293408073,8,50,0.6828344764511716,0.914062355559439,0.9427880962448159,COMPLETE
72,0.009385014190295993,2024-10-16 10:20:18.603224,2024-10-16 10:20:19.097695,0 days 00:00:00.494471,0.7157492864540256,0.08599949956245379,8,50,0.6806985601961414,0.8772552572178911,0.8862319507787274,COMPLETE
73,0.0045258057896035465,2024-10-16 10:20:18.625870,2024-10-16 10:20:19.156680,0 days 00:00:00.530810,0.8593169164629486,0.07787507726147465,8,50,0.785996133101584,0.9157723995181998,0.9451367802544263,COMPLETE
74,0.004392079462282074,2024-10-16 10:20:18.659945,2024-10-16 10:20:19.193186,0 days 00:00:00.533241,0.989734987790172,0.08021761535581672,8,50,0.8503105466623342,0.9159943705771076,0.9467578522187734,COMPLETE
75,0.00668773707464126,2024-10-16 10:20:18.900468,2024-10-16 10:20:19.307407,0 days 00:00:00.406939,0.9963691458300081,0.09557899526798545,6,50,0.7868006500609356,0.9101295651298754,0.9189291795132896,COMPLETE
76,0.004011535508888474,2024-10-16 10:20:18.989855,2024-10-16 10:20:19.509054,0 days 00:00:00.519199,0.9887159494937987,0.09072836943498844,8,50,0.8433970649644337,0.917067982494125,0.9513709239033433,COMPLETE
77,0.0038485554652461108,2024-10-16 10:20:19.104417,2024-10-16 10:20:19.612662,0 days 00:00:00.508245,0.988690942028291,0.09951603239337045,8,50,0.7845260253951946,0.9169930997386649,0.9533466184788892,COMPLETE
