number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conjunction_units,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_num_conjunctions,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
98,0.0040832004382870945,2024-10-15 22:56:40.029224,2024-10-15 22:57:06.608508,0 days 00:00:26.579284,32,144,0.1,50,32,0.0005194032088009904,10,adam,0.521351594112815,0.9505021794294467,COMPLETE
99,0.004481362614679514,2024-10-15 22:57:06.614156,2024-10-15 22:57:20.763955,0 days 00:00:14.149799,32,96,0.1,50,32,0.00045418141485402164,5,adam,0.5170572199547079,0.9456755341880682,COMPLETE
100,0.005019717537503083,2024-10-15 22:57:20.769421,2024-10-15 22:57:34.991030,0 days 00:00:14.221609,32,96,0.1,50,32,0.00021140744291016928,5,adam,0.5886090683190943,0.939149429046785,COMPLETE
101,0.003847917878923603,2024-10-15 22:57:34.996661,2024-10-15 22:58:01.527767,0 days 00:00:26.531106,32,144,0.1,50,32,0.0005936555872981554,10,adam,0.5456418538678134,0.9533543474977966,COMPLETE
102,0.0053980868919165925,2024-10-15 22:58:01.533436,2024-10-15 22:58:25.990302,0 days 00:00:24.456866,32,128,0.1,50,32,0.0006043299701127641,10,adam,0.3847616729886858,0.9345627185246798,COMPLETE
103,0.004750394005584564,2024-10-15 22:58:25.995823,2024-10-15 22:59:03.132875,0 days 00:00:37.137052,32,208,0.1,50,64,0.0005496444227565289,10,adam,0.3482622573974063,0.9424142523293576,COMPLETE
104,0.00600861226150432,2024-10-15 22:59:03.138416,2024-10-15 22:59:21.053037,0 days 00:00:17.914621,32,96,0.1,30,32,0.0003797267839796155,10,adam,0.5375448901068389,0.9271617408714002,COMPLETE
105,0.0038435952735536632,2024-10-15 22:59:21.058515,2024-10-15 22:59:51.028491,0 days 00:00:29.969976,32,128,0.1,50,64,0.0004897415446780562,10,adam,0.4936394656439136,0.9534067474591094,COMPLETE
106,0.004075990676814685,2024-10-15 22:59:51.033758,2024-10-15 23:00:15.926992,0 days 00:00:24.893234,32,96,0.1,50,64,0.0005347816323049514,10,adam,0.5256704773693877,0.9505895783913912,COMPLETE
107,0.003287489123160105,2024-10-15 23:00:15.932593,2024-10-15 23:00:33.971222,0 days 00:00:18.038629,32,144,0.1,50,96,0.0004350219389968859,5,adam,0.5735935215713337,0.9601480384798138,COMPLETE
108,0.0040005434788318445,2024-10-15 23:00:33.976631,2024-10-15 23:00:52.159154,0 days 00:00:18.182523,32,144,0.1,50,96,0.00027725082813666264,5,adam,0.5432819271230749,0.9515041726967034,COMPLETE
