number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
42,-3.868127212555561,-0.22278965889561864,2025-01-09 21:26:04.095635,2025-01-09 21:26:24.849418,0 days 00:00:20.753783,0.13102082140341248,40,0.4,192,100,0.00011824152614296262,3576,3.262311949017267e-05,1,5,sgd,"{'neurons_per_layer_encoder': [192, 384, 768, 1536, 3072], 'neurons_per_layer_decoder': [3072]}",192,[3072],"[192, 384, 768, 1536, 3072]",[-3.868127212555561],[-0.22278965889561864],0.9391544890434548,COMPLETE
43,-4.727255286410589,-0.10195759959900252,2025-01-09 21:26:24.857262,2025-01-09 21:26:39.367610,0 days 00:00:14.510348,0.024049959448861416,32,0.2,160,100,9.657980678467715e-05,472,1.758525353157557e-05,5,2,adadelta,"{'neurons_per_layer_encoder': [160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40, 20]}",160,"[320, 160, 80, 40, 20]","[160, 320]",[-4.727255286410589],[-0.10195759959900252],0.6430272775902658,COMPLETE
44,-1.3744208103777522,-0.003753284444244054,2025-01-09 21:26:34.765802,2025-01-09 21:26:47.529714,0 days 00:00:12.763912,0.19526736732132444,104,0.2,156,100,0.0005249498021720544,480,0.0034594081920882747,5,2,sgd,"{'neurons_per_layer_encoder': [156, 312], 'neurons_per_layer_decoder': [312, 156, 78, 39, 19]}",156,"[312, 156, 78, 39, 19]","[156, 312]",[-1.3744208103777522],[-0.003753284444244054],0.9347960089661805,COMPLETE
45,0.36960895690243945,0.27154448154695343,2025-01-09 21:26:39.374520,2025-01-09 21:26:48.868964,0 days 00:00:09.494444,0.014511506824532871,40,0.4,228,100,1.509211379462581e-06,428,0.003451369518224599,1,1,sgd,"{'neurons_per_layer_encoder': [228], 'neurons_per_layer_decoder': [228]}",228,[228],[228],[0.36960895690243945],[0.27154448154695343],0.6030044298676249,COMPLETE
46,0.6336369404940878,0.29601264680675954,2025-01-09 21:26:41.091297,2025-01-09 21:26:50.092055,0 days 00:00:09.000758,0.18959360485111212,40,0.4,224,100,2.6422640296902415e-05,424,0.004367916381230335,1,1,sgd,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[0.6336369404940878],[0.29601264680675954],0.6732869262414671,COMPLETE
47,0.5089981317071076,0.3010265305317249,2025-01-09 21:26:47.537020,2025-01-09 21:26:55.957083,0 days 00:00:08.420063,0.010907288363364789,40,0.4,228,100,1.0438113407491633e-06,364,0.0014448845676243202,1,1,adam,"{'neurons_per_layer_encoder': [228], 'neurons_per_layer_decoder': [228]}",228,[228],[228],[0.5089981317071076],[0.3010265305317249],-0.5045305078672615,COMPLETE
48,-5.649142884678034,-0.15093944140067528,2025-01-09 21:26:47.918481,2025-01-09 21:26:50.309229,0 days 00:00:02.390748,0.014929055701179387,40,0.4,228,100,1.5776102777755703e-06,428,1.5223821600000002e-05,1,1,sgd,"{'neurons_per_layer_encoder': [228], 'neurons_per_layer_decoder': [228]}",228,[228],[228],[-5.649142884678034],[-0.15093944140067528],0.42195684626826435,COMPLETE
49,-0.20156808658441938,0.2106142385647809,2025-01-09 21:26:48.875798,2025-01-09 21:26:55.728783,0 days 00:00:06.852985,0.014854821219975367,40,0.4,224,100,1.1507374829861323e-06,360,0.0011491943493774758,1,1,sgd,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[-0.20156808658441938],[0.2106142385647809],0.6302059734614328,COMPLETE
50,0.17421281591396875,-0.46558048547143027,2025-01-09 21:26:50.102327,2025-01-09 21:27:16.361661,0 days 00:00:26.259334,0.010762583419583104,32,0.30000000000000004,232,100,2.0920675328241983e-05,1992,0.00018559036484696806,1,4,adam,"{'neurons_per_layer_encoder': [232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856]}",232,[1856],"[232, 464, 928, 1856]",[0.17421281591396875],[-0.46558048547143027],0.6953928790677527,COMPLETE
51,0.5960747606749619,0.11132097351857961,2025-01-09 21:26:50.316935,2025-01-09 21:26:58.116817,0 days 00:00:07.799882,0.05635228595348629,32,0.30000000000000004,32,100,4.134894550734244e-06,376,0.0020243343020580552,1,4,adam,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256]}",32,[256],"[32, 64, 128, 256]",[0.5960747606749619],[0.11132097351857961],0.24655526654466384,COMPLETE
