number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
82,0.004872643736275014,2024-10-17 11:49:04.095793,2024-10-17 11:54:20.107321,0 days 00:05:16.011528,64,50,0.004814762222245816,6,32,28,RMSprop,0.00010065870170497048,0.832688823988297,72,0.3605343170081116,COMPLETE
83,0.004905215179842234,2024-10-17 11:49:06.002391,2024-10-17 11:54:23.530809,0 days 00:05:17.528418,64,50,0.004878910873250545,6,32,28,RMSprop,0.0005144281731189026,0.825598468563218,72,0.37631562703031995,COMPLETE
84,0.009705425464638404,2024-10-17 11:50:55.179138,2024-10-17 11:54:58.497934,0 days 00:04:03.318796,56,30,0.0048680048321572454,7,32,24,RMSprop,0.00398572656192388,1.1779707301757585,72,0.42622823779620306,COMPLETE
85,0.008400041976765898,2024-10-17 11:52:00.212498,2024-10-17 11:55:03.135031,0 days 00:03:02.922533,56,30,0.006928924502966,5,32,28,RMSprop,0.003800773561071021,1.0582530677240642,72,0.48354423899898913,COMPLETE
86,0.00782654470813535,2024-10-17 11:52:53.653646,2024-10-17 11:57:17.867671,0 days 00:04:24.214025,120,50,0.008954450465849587,5,32,28,RMSprop,0.0002557284233715243,1.0267406512936452,96,0.3147254444427361,COMPLETE
87,0.004427464449034691,2024-10-17 11:54:16.218467,2024-10-17 11:59:27.582353,0 days 00:05:11.363886,56,50,0.007862770796696374,5,32,28,RMSprop,0.00026338818130320165,0.911087074160335,96,0.4804907718631856,COMPLETE
88,0.006851720093194938,2024-10-17 11:54:20.115933,2024-10-17 11:58:42.046913,0 days 00:04:21.930980,120,50,0.007837754283076358,5,36,24,RMSprop,0.00015405010037029506,0.9186332811516122,96,0.3071186752181627,COMPLETE
89,0.005957641675013817,2024-10-17 11:54:23.538955,2024-10-17 11:58:48.824187,0 days 00:04:25.285232,120,50,0.007129662006888256,5,36,24,RMSprop,0.00015640011158749405,0.9087249315478448,96,0.34386595729411407,COMPLETE
90,0.0058238832448210525,2024-10-17 11:54:58.505591,2024-10-17 11:59:39.566898,0 days 00:04:41.061307,112,50,0.006960884564046357,5,36,24,RMSprop,0.00014973206939706906,0.9133440840871313,96,0.4047525077669575,COMPLETE
91,0.004916374877581592,2024-10-17 11:55:03.143070,2024-10-17 11:59:46.271990,0 days 00:04:43.128920,112,50,0.008020223297216465,5,36,20,Adam,0.00015393183452683525,0.9170093161419066,96,0.490240247670727,COMPLETE
92,0.005352692869748071,2024-10-17 11:57:17.875269,2024-10-17 12:01:56.132996,0 days 00:04:38.257727,112,50,0.00805988873737492,5,36,20,Adam,0.00015794414754938423,0.9088415490727002,88,0.4708508461628678,COMPLETE
93,0.004515279064537124,2024-10-17 11:58:42.054377,2024-10-17 12:03:53.477382,0 days 00:05:11.423005,56,50,0.007112897597705424,5,36,20,Adam,0.00015163083712102987,0.9192870360708578,88,0.46607956776607545,COMPLETE
94,0.004934812637463345,2024-10-17 11:58:48.831796,2024-10-17 12:04:00.068792,0 days 00:05:11.236996,56,50,0.006414107196803026,5,36,20,Adam,0.001483046117650269,0.9813331451802613,88,0.5391181304279403,COMPLETE
95,0.005831844306558408,2024-10-17 11:59:27.591213,2024-10-17 12:05:30.296447,0 days 00:06:02.705234,48,50,0.006413695645432748,5,40,16,Adam,0.00012170245690464718,0.9484960347606338,88,0.45032512187204965,COMPLETE
96,0.005053291149247264,2024-10-17 11:59:39.574596,2024-10-17 12:04:53.142152,0 days 00:05:13.567556,56,50,0.006385411172846961,5,40,20,Adam,0.00029276693655915154,0.8931244014809953,88,0.44989175980078133,COMPLETE
97,0.007200804200785266,2024-10-17 11:59:46.279764,2024-10-17 12:05:46.707022,0 days 00:06:00.427258,48,50,0.006473625700725648,5,40,16,RMSprop,0.00012223950844939544,0.9472739850777656,88,0.19000951090100837,COMPLETE
98,0.00880342306090715,2024-10-17 12:01:56.141783,2024-10-17 12:07:53.677261,0 days 00:05:57.535478,48,50,0.006329349133443535,5,40,16,RMSprop,0.0003015170149969543,0.950041607224348,88,0.10135258508902123,COMPLETE
99,0.006645855537482401,2024-10-17 12:03:53.487233,2024-10-17 12:09:51.628729,0 days 00:05:58.141496,48,50,0.00565953625250277,5,40,16,RMSprop,0.00029794863262360555,0.9447105626320171,80,0.2912849408830098,COMPLETE
100,0.008848871515449929,2024-10-17 12:04:00.077548,2024-10-17 12:10:00.274187,0 days 00:06:00.196639,48,50,0.005608528415601174,5,40,16,RMSprop,0.0002495512840506872,0.9459187438460713,80,0.08177613658293413,COMPLETE
