number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,state
91,0.004435015569884357,2024-10-16 12:25:43.026696,2024-10-16 12:30:39.778268,0 days 00:04:56.751572,0.019514395746157383,96,0.1,50,6.983091486033803e-05,192,0.00012708952753380745,adam,0.9754048991800072,COMPLETE
92,0.0040224604832989055,2024-10-16 12:25:43.026705,2024-10-16 12:30:13.480188,0 days 00:04:30.453483,0.019824322870386248,96,0.1,50,6.17545741480769e-05,192,0.0001256271602832961,adam,0.9766514935341557,COMPLETE
93,0.004766457198106065,2024-10-16 12:25:43.027046,2024-10-16 12:30:14.120809,0 days 00:04:31.093763,0.01962295379747093,96,0.1,50,6.583790440428384e-05,192,0.00012606122563043581,adam,0.9727528163293285,COMPLETE
94,0.011783106963750681,2024-10-16 12:25:43.026696,2024-10-16 12:30:10.525771,0 days 00:04:27.499075,0.02045664694642977,96,0.1,50,6.20200139056729e-05,192,0.0011777370579374084,adam,0.565305138682178,COMPLETE
95,0.0048998241966615825,2024-10-16 12:25:43.026699,2024-10-16 12:30:29.445171,0 days 00:04:46.418472,0.020207989021156024,96,0.1,50,4.002983271286572e-06,192,0.00017201915903798364,adam,0.8372418387231545,COMPLETE
96,0.004649815030962374,2024-10-16 12:30:10.538481,2024-10-16 12:35:31.155750,0 days 00:05:20.617269,0.019804303946698087,96,0.1,50,3.525146983362266e-06,192,0.00012402764311745672,adam,0.8376592160818583,COMPLETE
97,0.005503283141320801,2024-10-16 12:30:13.493519,2024-10-16 12:35:33.814770,0 days 00:05:20.321251,0.019116348324265574,96,0.1,50,0.00013696641149351263,192,0.00012444191028361678,adam,0.9727212685421426,COMPLETE
98,0.0065416694778872905,2024-10-16 12:30:14.132812,2024-10-16 12:35:26.624137,0 days 00:05:12.491325,0.016262874883164802,96,0.1,50,0.0001150288422294615,192,0.00017654779386125477,adam,0.9443513303809188,COMPLETE
99,0.0037480612986481496,2024-10-16 12:30:17.172308,2024-10-16 12:35:47.837422,0 days 00:05:30.665114,0.016408931086338854,96,0.1,50,3.6906129188813576e-06,192,0.00012610908951133805,adam,0.8729416762310422,COMPLETE
100,0.004757232560591412,2024-10-16 12:30:29.480777,2024-10-16 12:35:52.709792,0 days 00:05:23.229015,0.016889253452311664,96,0.1,50,0.00010923834965915772,192,0.00012549139099837645,adam,0.9766047463948432,COMPLETE
101,0.004614676805465218,2024-10-16 12:30:39.801253,2024-10-16 12:35:57.698028,0 days 00:05:17.896775,0.01864181886655497,96,0.1,50,9.09703147016745e-05,192,0.00012896199250866298,adam,0.9761079389148246,COMPLETE
102,0.004895934119155117,2024-10-16 12:35:26.634973,2024-10-16 12:40:15.118745,0 days 00:04:48.483772,0.01888916897146446,96,0.1,50,9.969483267262153e-05,192,0.00012600276635343514,adam,0.9749809115598296,COMPLETE
103,0.00470936655307524,2024-10-16 12:35:31.167758,2024-10-16 12:40:15.246561,0 days 00:04:44.078803,0.01862529171109947,96,0.1,50,9.415678868846133e-05,192,0.00011072651713617702,adam,0.9789831144484079,COMPLETE
104,0.08686335270846311,2024-10-16 12:35:33.826788,2024-10-16 12:37:09.212415,0 days 00:01:35.385627,0.017529846745109864,96,0.1,50,5.466045253041197e-05,192,0.00010651768084266267,adadelta,0.7889433409106951,COMPLETE
105,0.07999842583392881,2024-10-16 12:35:47.859609,2024-10-16 12:37:41.045936,0 days 00:01:53.186327,0.015288860170007558,96,0.1,50,4.1338958903592864e-05,192,0.00010236988476129787,adadelta,0.7636843646578099,COMPLETE
106,0.0049004991418468155,2024-10-16 12:35:52.720555,2024-10-16 12:40:56.774196,0 days 00:05:04.053641,0.022749787041955127,96,0.1,50,9.837369443779552e-05,192,0.0001035545420150447,adam,0.9798070175587125,COMPLETE
107,0.004223978329219922,2024-10-16 12:35:57.722939,2024-10-16 12:40:46.793615,0 days 00:04:49.070676,0.023130994839717398,96,0.1,50,6.164292361377206e-06,192,0.00010907777287852843,adam,0.8977795750066607,COMPLETE
108,0.005565546311637216,2024-10-16 12:37:09.235680,2024-10-16 12:42:15.631419,0 days 00:05:06.395739,0.02299415435627207,96,0.1,50,7.79223387988e-05,192,0.0001376992717867412,adam,0.9682483576160619,COMPLETE
109,0.004997448460470884,2024-10-16 12:37:41.055776,2024-10-16 12:42:53.380463,0 days 00:05:12.324687,0.02306421609299203,96,0.1,50,3.1449985402156056e-06,192,0.00013870666889564988,adam,0.8062462917115547,COMPLETE
110,0.004490719558675675,2024-10-16 12:40:15.136316,2024-10-16 12:45:01.099823,0 days 00:04:45.963507,0.023712654810157087,96,0.1,50,2.1784010495642787e-05,192,0.0001378933745341706,adam,0.9516996421592288,COMPLETE
